time,tavg,tmin,tmax,prcp
1/1/2019,18.2,9.5,27.4,0
1/2/2019,18.5,9.8,27,0
1/3/2019,19.6,11.2,29,0
1/4/2019,19.6,12.4,27.4,0
1/5/2019,18.6,10.6,27,0
1/6/2019,19.1,10.2,28,0
1/7/2019,20.2,10.9,30.4,0
1/8/2019,20.7,13,29.6,0
1/9/2019,20,12.4,27.6,0
1/10/2019,19.9,12.8,27.8,0
1/11/2019,20.2,14,27,0
1/12/2019,19.9,13.5,27,0
1/13/2019,19.9,12.4,28,0
1/14/2019,21.5,13.4,30,0
1/15/2019,20.2,22.6,32.4,0
1/16/2019,19,13,26,0
1/17/2019,19.9,11.5,28.4,0
1/18/2019,21.3,13.5,29.2,0
1/19/2019,20,16,29,0
1/20/2019,20.6,14.6,28,0
1/21/2019,21.7,12.8,30.4,0
1/22/2019,22.7,18.8,30.6,0
1/23/2019,21.6,17,30.6,0
1/24/2019,22,17.8,30,0
1/25/2019,22.2,15,30,0
1/26/2019,22.4,15.2,30,0
1/27/2019,20.6,17.1,24.8,0
1/28/2019,20.9,18.6,25.4,0
1/29/2019,20.2,17,26.2,0
1/30/2019,18.7,10.8,26.6,0
1/31/2019,18.7,10.4,28,0
2/1/2019,19.9,9.9,29,0
2/2/2019,20.4,11.7,32.4,0
2/3/2019,21.6,12.2,31.6,0
2/4/2019,22.4,13.3,31,0
2/5/2019,22.7,13.8,32.4,0
2/6/2019,23.6,13.1,33.6,0
2/7/2019,24.2,14.5,33.8,0
2/8/2019,24.3,17.6,31.2,0
2/9/2019,24.7,19.4,30.8,0
2/10/2019,22.2,22.6,32.4,0
2/11/2019,21.3,13.4,29,0
2/12/2019,21.8,13.8,29.2,0
2/13/2019,22.9,14.3,31,0
2/14/2019,24.2,15.8,34,0
2/15/2019,25.1,19,32.4,0
2/16/2019,23,17.7,32.4,1
2/17/2019,25.3,17.9,32,0.3
2/18/2019,24.6,17.9,33,0
2/19/2019,26.2,18.8,33.8,0
2/20/2019,27.3,20.4,34,0
2/21/2019,27.3,22.5,35,0
2/22/2019,28.3,19.7,38.8,0
2/23/2019,29.8,21.6,38.2,0
2/24/2019,28.1,22.9,36.6,0
2/25/2019,26.4,22,31.4,0.3
2/26/2019,27,23.3,32,0
2/27/2019,25.7,24,32,0
2/28/2019,24.6,18.2,32,22.1
3/1/2019,23.5,21,29,0
3/2/2019,24.2,18,30.8,0
3/3/2019,26.1,19.6,32.4,0
3/4/2019,27.3,22.5,33.6,0
3/5/2019,27.7,24,33,0.3
3/6/2019,27.3,24.4,33,1
3/7/2019,26.1,23,32,0
3/8/2019,25.9,20,32.2,0
3/9/2019,27,20.7,34.6,0
3/10/2019,27.9,23.3,33,0
3/11/2019,29.1,24.2,35,0
3/12/2019,29.1,23.6,36.4,0
3/13/2019,30.2,24.8,37.2,0
3/14/2019,29.6,25.2,36,0
3/15/2019,28.1,22.6,32.4,0
3/16/2019,27.6,20.9,33,2
3/17/2019,28.2,23.2,36.6,0
3/18/2019,26.2,21,33.2,0
3/19/2019,28,21.4,34.4,0
3/20/2019,28.8,22.8,36.2,0
3/21/2019,28.6,23.4,36,0
3/22/2019,29.2,24,36.8,0
3/23/2019,29.2,24.6,37.2,0
3/24/2019,29.8,21.9,38,0
3/25/2019,29.9,24.8,38,0
3/26/2019,29.4,23.1,37,0
3/27/2019,29,24.6,35,0
3/28/2019,29.4,24.9,37,0
3/29/2019,29.2,25,36,0
3/30/2019,30.2,24.8,37.2,0
3/31/2019,30.4,26.5,32.4,0
4/1/2019,29.7,23.2,36,0
4/2/2019,30.1,24.4,37.4,0
4/3/2019,29.7,25.8,35.8,0
4/4/2019,29.4,25.7,34.8,0
4/5/2019,31.3,25.8,32.4,0
4/6/2019,29.5,22.6,32.4,0
4/7/2019,29.1,22.8,32.4,0
4/8/2019,28.1,25.5,32.2,0.8
4/9/2019,29.7,25,36.2,0.8
4/10/2019,29.8,23.9,35.8,0
4/11/2019,29.9,25.8,38,0
4/12/2019,30.6,23.3,39.4,0
4/13/2019,30.4,24.8,37.6,0
4/14/2019,31.2,26.8,39,0
4/15/2019,30.8,26.3,38.2,0
4/16/2019,32.4,27,43.2,0
4/17/2019,31.4,24.8,41.4,0
4/18/2019,30.2,24.2,38,0
4/19/2019,29.7,26,37.2,0.3
4/20/2019,29.2,22.1,37.2,0.5
4/21/2019,28.2,22.6,32.4,0
4/22/2019,27.4,20.4,32.4,13
4/23/2019,29.1,20,36,8.9
4/24/2019,30.2,25.1,37,0
4/25/2019,30.6,25.6,36.6,0
4/26/2019,31.2,26.6,37,0
4/27/2019,31.9,29,39,0
4/28/2019,31.7,27.4,38,0
4/29/2019,31.4,28,37.4,0
4/30/2019,31,28,37.4,0
5/1/2019,31.2,26.8,37,0
5/2/2019,28.4,25,34,0
5/3/2019,24.5,22.6,32.4,61
5/4/2019,29.3,21.3,32.4,161
5/5/2019,30.7,27.2,32.4,0
5/6/2019,31.4,22.6,32.4,0
5/7/2019,31.3,26.4,32.4,0
5/8/2019,31.7,27.6,37,0
5/9/2019,31.9,28,36.2,0
5/10/2019,31.5,28.3,36.4,0
5/11/2019,31.1,28,36,0
5/12/2019,31.2,27.5,36,0
5/13/2019,31.4,26,37,0
5/14/2019,32.2,26.2,38.8,0
5/15/2019,30.8,27,37,0
5/16/2019,31.7,23.8,37.8,0
5/17/2019,31.3,27.2,37,0
5/18/2019,32.8,27.1,39.8,0
5/19/2019,32.3,27.8,39.4,0
5/20/2019,31.7,27.8,38,0
5/21/2019,31.7,27,37,0
5/22/2019,32.1,27.7,37,0
5/23/2019,30.6,28,35.4,0.3
5/24/2019,31.9,27.5,37,0
5/25/2019,32.7,27.6,39,0
5/26/2019,32.8,28.8,38.8,0
5/27/2019,32.2,27.2,37.8,0
5/28/2019,32.7,27.6,38,0
5/29/2019,32.3,26.6,38,0
5/30/2019,32.3,28.2,38,0
5/31/2019,30.7,25,37,0
6/1/2019,30.6,22.9,35,13
6/2/2019,30.2,26,36,0
6/3/2019,30.6,24.2,34.4,1
6/4/2019,31.6,25.8,37,0
6/5/2019,30.3,23,37,0
6/6/2019,30.6,22,34.4,8.9
6/7/2019,29.3,27.6,32,0
6/8/2019,29.4,27,34,0
6/9/2019,31.6,25,37,0
6/10/2019,31.6,29,37,0
6/11/2019,32.9,26.6,40,0
6/12/2019,33.2,28.4,42,0
6/13/2019,28.8,24.2,33,34
6/14/2019,31.9,25.5,37.4,5.1
6/15/2019,30.3,25,34,0
6/16/2019,28.7,23.3,31,6.1
6/17/2019,31.9,25.9,35.6,1
6/18/2019,32.1,28,32.4,0
6/19/2019,32.4,26.4,37,0
6/20/2019,28.2,24.6,31,0
6/21/2019,25.9,22.4,27,23.9
6/22/2019,28.1,23.9,30.4,27.9
6/23/2019,29.4,25.6,33,2
6/24/2019,30.9,26.5,35,0.3
6/25/2019,31.3,26.9,35,0
6/26/2019,31.3,26.6,35.2,0
6/27/2019,31,27.6,36,0
6/28/2019,29.1,23.5,32,29
6/29/2019,29.8,27.8,33,0
6/30/2019,27.8,24.7,32.4,2
7/1/2019,26.1,24.9,27,21.1
7/2/2019,27.1,24.2,29,71.1
7/3/2019,29.1,26.4,32,0.3
7/4/2019,28.2,25.6,31,3
7/5/2019,27.6,25.8,30,7.1
7/6/2019,26.7,24.2,28,23.9
7/7/2019,29.2,25.2,33,0.3
7/8/2019,29.6,27,33.6,0
7/9/2019,28.8,26.3,34.2,8.9
7/10/2019,28,25.6,31,18
7/11/2019,29.6,25.6,33,3
7/12/2019,29.5,26.2,34.4,0
7/13/2019,28.6,25.9,40,18
7/14/2019,30.1,25.2,32.4,16
7/15/2019,30.2,26,35,0
7/16/2019,30.7,26,36,0
7/17/2019,29.9,26.6,36.2,0.5
7/18/2019,29.2,25.4,35,0.3
7/19/2019,29.6,26.7,33,13
7/20/2019,29.9,26.8,33.2,2
7/21/2019,30.7,26.9,35,0.5
7/22/2019,31.1,26.5,35,0
7/23/2019,31.2,27,35.2,0
7/24/2019,30.7,26.5,35.6,0
7/25/2019,26.3,24.8,29,13
7/26/2019,26.3,23.1,28,52.1
7/27/2019,27.4,24,29.4,14
7/28/2019,27.1,26,29.2,0.5
7/29/2019,27.2,24.2,28.4,9.9
7/30/2019,29.2,26.4,32,1
7/31/2019,28.1,25.6,32,0
8/1/2019,27.8,25,30,24.9
8/2/2019,27.7,25.6,30,0
8/3/2019,26.7,25.4,29.8,2
8/4/2019,28.3,24.8,31,11.9
8/5/2019,29.1,25.2,31,0.3
8/6/2019,28,25.1,31,26.9
8/7/2019,26.4,24.8,27,42.9
8/8/2019,27.9,24.5,30,14
8/9/2019,28.9,25,33.6,0
8/10/2019,29.9,24.6,34,6.1
8/11/2019,29.8,26.6,32.8,0
8/12/2019,26.8,25.6,29,1
8/13/2019,28.4,24.8,30,24.9
8/14/2019,29.8,26.8,33.8,0
8/15/2019,29.3,27,32.8,0
8/16/2019,29.3,25.7,34.4,0
8/17/2019,28.5,26.6,31.6,0
8/18/2019,26.6,23.4,29,27.9
8/19/2019,29.2,24.9,33,0.3
8/20/2019,29.4,26.2,33.2,0
8/21/2019,28.4,26,33,0.5
8/22/2019,28.3,25,32.4,0
8/23/2019,27.7,25.8,31,16
8/24/2019,27.8,25.5,32.4,15
8/25/2019,26.6,24.8,32.4,3
8/26/2019,27.4,23.7,32.4,19.1
8/27/2019,28.4,24.6,31,1
8/28/2019,27.7,26,29.6,0
8/29/2019,28.9,25.5,32.4,0.3
8/30/2019,28.5,25.5,31,0.5
8/31/2019,29.2,26.2,32.4,3
9/1/2019,28.5,26,33.4,0.5
9/2/2019,27.9,25.6,32,2
9/3/2019,27.8,24.5,32,49
9/4/2019,27.7,24.8,32,1
9/5/2019,27.8,25.4,31,9.9
9/6/2019,27.4,25.4,29,23.9
9/7/2019,28.2,24.5,30.4,30
9/8/2019,28.2,25.8,32.8,0
9/9/2019,28.8,24.6,31,38.1
9/10/2019,28.9,26.7,32.2,0
9/11/2019,26.8,25,29,8.9
9/12/2019,27.6,24,29,40.9
9/13/2019,27.9,25.6,32.4,0
9/14/2019,29.1,25.5,33,0
9/15/2019,29.2,26.1,33.2,0
9/16/2019,29.3,26.5,34,0
9/17/2019,28.3,25.9,33.2,0
9/18/2019,28.2,25.5,31,0
9/19/2019,28.5,25.4,32.2,0
9/20/2019,28.1,24.9,32,0
9/21/2019,28.4,24.7,32.4,0
9/22/2019,27.9,25.4,33,0
9/23/2019,26.9,25,31.2,9.9
9/24/2019,25.7,25,28,38.1
9/25/2019,25.1,23.2,26,126
9/26/2019,25.8,22.5,32.4,19.1
9/27/2019,26.7,23.5,32.4,1
9/28/2019,25.9,24,29,0
9/29/2019,27.2,23.8,31.2,9.9
9/30/2019,27.6,22.7,32.4,0
10/1/2019,27.9,24.9,32.4,0
10/2/2019,27.3,24,32.4,0
10/3/2019,28.6,22.8,32.4,0
10/4/2019,29.2,24.8,32.4,0
10/5/2019,29.3,23.6,32.4,0
10/6/2019,28.1,23.6,33.4,0
10/7/2019,27.3,23.1,33,0
10/8/2019,26.1,25,30,0
10/9/2019,27.1,23.5,32,0
10/10/2019,27.5,24,31,0
10/11/2019,27,23.7,33,11.9
10/12/2019,27.2,22.4,32,21.1
10/13/2019,27.9,22.8,32,5.1
10/14/2019,26.9,22.6,32.4,22.1
10/15/2019,27.4,22.1,32,0
10/16/2019,26.1,22.8,32.4,0
10/17/2019,26.8,23.1,32,0
10/18/2019,27.9,23.1,33.2,0
10/19/2019,28.1,23.4,33,0
10/20/2019,28.1,24,32.8,0
10/21/2019,28.2,23.4,33,0
10/22/2019,28.4,23.2,33.6,0
10/23/2019,24.7,24,27,0.5
10/24/2019,24.2,22.4,25.5,0
10/25/2019,25.5,22.6,28,144
10/26/2019,25.9,21.2,29,5.1
10/27/2019,27.1,22.8,30,0
10/28/2019,26.7,22.9,30,0
10/29/2019,26.9,22,31.2,0
10/30/2019,27.3,22.2,31.2,0
10/31/2019,27.7,23,32,0
11/1/2019,27.4,23.4,32,0
11/2/2019,26.6,22.8,31,0
11/3/2019,25.9,21.4,31,0
11/4/2019,26.3,21,32.4,0
11/5/2019,26.1,20.8,31,0
11/6/2019,25.7,22.4,29.4,0
11/7/2019,25.1,20.8,30,0
11/8/2019,23.8,19.5,25,0
11/9/2019,24.6,20.8,26,4.1
11/10/2019,26.2,20.6,30.2,0
11/11/2019,25.8,22.8,31.4,0
11/12/2019,25.1,19.6,30.4,0
11/13/2019,24.2,18.8,30,0
11/14/2019,23.4,17.2,29.6,0
11/15/2019,24.3,17.6,30,0
11/16/2019,25.3,19.5,30.8,0
11/17/2019,25.2,20.2,31,0
11/18/2019,24.7,20,30.4,0
11/19/2019,23.5,19.8,29.8,0
11/20/2019,23.9,16.9,29.6,0
11/21/2019,23.8,17.8,30.2,0
11/22/2019,23.3,18,29,0
11/23/2019,23.8,17.9,30,0
11/24/2019,23.6,18.5,29,0
11/25/2019,23.3,18.4,29.6,0
11/26/2019,23.4,18.5,29.2,0
11/27/2019,23.4,18.2,28.8,0
11/28/2019,23.6,19.6,29,0
11/29/2019,23.8,18,30,0
11/30/2019,24.3,20,30,0
12/1/2019,23.9,18.4,29,0
12/2/2019,22.6,19,27.8,0
12/3/2019,22.9,16.2,29,0
12/4/2019,23.1,18,29,0
12/5/2019,20.6,16.6,27.2,0
12/6/2019,20.7,12.8,27.8,0
12/7/2019,23.1,16.4,29.2,0
12/8/2019,23.4,18.4,29.2,0
12/9/2019,23.3,19,30,0
12/10/2019,23.2,17.7,30,0
12/11/2019,23.2,17.2,29,0
12/12/2019,23.5,17.6,29.2,0
12/13/2019,23.2,19.5,28,0
12/14/2019,23.3,19,29,0
12/15/2019,24.1,18.2,29.6,0
12/16/2019,23.5,18.9,28.6,0
12/17/2019,23.1,18.1,28.2,0
12/18/2019,21.8,19,26.8,0
12/19/2019,20,14.8,25.8,0
12/20/2019,20.2,13.6,26.6,0
12/21/2019,19.8,14.6,25,0
12/22/2019,20.8,15,27,0
12/23/2019,21.3,17,27.2,0
12/24/2019,20.7,15,27.6,0
12/25/2019,21.6,14,28.8,0
12/26/2019,20.7,17.1,25.4,0
12/27/2019,18.8,17.6,23.4,0
12/28/2019,17.7,14,24,0
12/29/2019,17.1,10.2,24.6,0
12/30/2019,16.8,10.6,24,0
12/31/2019,18.2,9.8,25.8,0
1/1/2020,20.7,12.6,26.6,0
1/2/2020,21.8,15.6,25.8,0
1/3/2020,18.1,17,22,0
1/4/2020,19.1,16.1,21,11.9
1/5/2020,20.1,15.4,25,0
1/6/2020,18.9,15.6,25,0
1/7/2020,19.2,12,27,0
1/8/2020,20.6,13.4,27.2,0
1/9/2020,22.1,16,27.2,0
1/10/2020,21.2,18.4,25.6,0
1/11/2020,18.2,15,25.3,0
1/12/2020,18.2,11.3,25.4,0
1/13/2020,19.3,11.4,27.4,0
1/14/2020,20.6,13,28.4,0
1/15/2020,21.4,16,28.2,0
1/16/2020,21.6,16,29.6,0
1/17/2020,22.3,16.5,29.4,0
1/18/2020,22.4,18,29.2,0
1/19/2020,22.6,15,30.6,0
1/20/2020,21.9,17.8,28.6,0
1/21/2020,21.7,18.6,28,0
1/22/2020,22.5,16.1,29.6,0
1/23/2020,24.1,18.5,30.8,0
1/24/2020,23.2,19.6,29.2,0
1/25/2020,21.4,17.6,27.8,0
1/26/2020,21.3,15.8,28,0
1/27/2020,21.2,13.3,29,0
1/28/2020,23.3,15.6,30.2,0
1/29/2020,26,21.4,32.6,0
1/30/2020,25.3,23,30.6,0.3
1/31/2020,22.3,19.6,27.4,0
2/1/2020,22,16.6,27.2,0
2/2/2020,21.7,17.7,26.4,0
2/3/2020,21,19,26,0
2/4/2020,22.1,16,28,0
2/5/2020,19.4,18,21,0
2/6/2020,22.3,16.9,27,2
2/7/2020,19.8,18,23,0.8
2/8/2020,17.6,16,20,1
2/9/2020,18.9,15,23,4.1
2/10/2020,20.1,14.8,27,0
2/11/2020,19.9,12.9,27.2,0
2/12/2020,20.8,12.6,29.2,0
2/13/2020,22.5,12.8,31.4,0
2/14/2020,23.8,14.5,33,0
2/15/2020,24.2,15.6,33.8,0
2/16/2020,23.8,17,31.4,0
2/17/2020,24.9,20,31.8,0
2/18/2020,24.2,17,32.8,0
2/19/2020,24.3,14.5,32.6,0
2/20/2020,24.7,18.8,31.4,0
2/21/2020,24,18,32.8,0
2/22/2020,23.7,17,32.6,0
2/23/2020,24.1,16.4,32.6,0
2/24/2020,22.1,18,27.2,0
2/25/2020,19.3,17.6,21,7.9
2/26/2020,21.6,16.5,26,78
2/27/2020,22.8,16.7,30,0
2/28/2020,22.6,18,28.8,0
2/29/2020,24.2,17.5,30.8,0
3/1/2020,25,18.3,32.4,0
3/2/2020,25.9,19.7,33,0
3/3/2020,26.3,19.4,33.6,0
3/4/2020,24.5,22,30,0
3/5/2020,25.4,20.4,31.4,13
3/6/2020,23.9,20.1,29,4.1
3/7/2020,25.1,21,31,0.5
3/8/2020,26.6,21,31.8,2
3/9/2020,27.2,21.6,33,0
3/10/2020,27.3,22.7,33.4,0
3/11/2020,27,23.1,33.4,0
3/12/2020,27.7,23.2,33.4,0
3/13/2020,27.6,23.2,34.6,0
3/14/2020,26.2,22,34,0
3/15/2020,26.2,19.9,32.2,0
3/16/2020,28.2,22.7,34,0
3/17/2020,28.7,23,35.2,0
3/18/2020,28.7,22,35,0
3/19/2020,25.4,19.4,33,0
3/20/2020,26.8,18.4,33.2,0
3/21/2020,25.7,22.4,33.2,0
3/22/2020,26,20.6,33,0
3/23/2020,25.7,20.6,32.6,0
3/24/2020,27.8,20.5,34.4,0
3/25/2020,28.6,22.6,35,0
3/26/2020,29.6,22.9,36.4,0
3/27/2020,30.2,24.4,37,0
3/28/2020,30.6,25,37.8,0
3/29/2020,29.4,24.2,38.2,0
3/30/2020,29.6,22.4,36.2,0
3/31/2020,30.2,23.5,36.6,0
4/1/2020,31.1,23.9,38,0
4/2/2020,30.5,26,38.2,0
4/3/2020,30.7,24.8,37.4,0
4/4/2020,28.2,25,32,0
4/5/2020,29.2,25.9,32.4,0
4/6/2020,30.9,25.4,37.6,0
4/7/2020,30.5,24.4,37.6,0
4/8/2020,28.7,25,34.8,0
4/9/2020,28.6,21,35.8,0
4/10/2020,29.8,24.6,37.6,0
4/11/2020,30.6,25.3,39,0
4/12/2020,31.2,25,39.4,0
4/13/2020,31.4,26.8,40.4,0
4/14/2020,30.9,26,40.4,0
4/15/2020,31.1,26.6,39,0
4/16/2020,30.8,25.7,32.4,0
4/17/2020,30.2,26.7,36.6,0
4/18/2020,28.3,23.2,36,0
4/19/2020,29.6,21.8,36,2
4/20/2020,31.9,26,32.4,0
4/21/2020,26.5,22.6,32.4,0
4/22/2020,28.4,22,33.6,0
4/23/2020,29,25,36.2,0
4/24/2020,28.6,22.6,32.4,0
4/25/2020,26.2,21.5,30,0
4/26/2020,28,25,33,0
4/27/2020,28.1,23.1,34,0
4/28/2020,28.1,23.2,33.8,0
4/29/2020,27.6,21,35,0
4/30/2020,29.2,20.7,34.4,23.9
5/1/2020,26.6,22,34.8,0
5/2/2020,29.4,21,34.8,8.9
5/3/2020,30.2,27.3,32.4,0
5/4/2020,29.1,22.6,32.4,0
5/5/2020,30.2,26.5,36.2,0
5/6/2020,28.1,23,33,7.1
5/7/2020,29.3,24.9,34,0.5
5/8/2020,30.1,25,35.6,0
5/9/2020,30.8,23.9,37,0
5/10/2020,30.4,22.8,37,0
5/11/2020,29.9,20.7,32.4,0
5/12/2020,30.6,27,37,0
5/13/2020,30.3,25.5,32.4,0
5/14/2020,31.1,26.2,37.7,0
5/15/2020,31.3,26.5,37.6,0
5/16/2020,31.6,27,38.2,0
5/17/2020,31.2,28,37.8,0
5/18/2020,31.8,26,32.4,0
5/19/2020,27.7,24,32,0
5/20/2020,23.2,20,32.4,51.1
5/21/2020,30,20.9,32.4,35.1
5/22/2020,30.7,22.6,32.4,0
5/23/2020,30.8,26.9,32.4,0
5/24/2020,30.6,28,32.4,0
5/25/2020,30.3,28.5,34,0
5/26/2020,30.2,28.5,34.2,0
5/27/2020,31.1,28.1,35.8,0
5/28/2020,28.6,27,32.2,0
5/29/2020,28.3,21,34,0
5/30/2020,29.7,20.9,34,6.1
5/31/2020,31.4,26.5,36,0
6/1/2020,28.2,25,34,0
6/2/2020,28.7,24,35.8,0
6/3/2020,29.2,24.4,35,0
6/4/2020,30.3,25,36,0
6/5/2020,30.9,27.2,35,0
6/6/2020,31.3,28.8,37,0
6/7/2020,30.3,26.2,34,0
6/8/2020,28.8,26,35,0
6/9/2020,30.1,24.5,35.8,0
6/10/2020,29.3,24.5,36.2,0
6/11/2020,28,25.9,30,9.9
6/12/2020,28.4,26,31,11.9
6/13/2020,28.9,26.5,33.6,5.1
6/14/2020,28,25.4,29,20.1
6/15/2020,28.1,27,29.8,3
6/16/2020,28.7,25.2,30.6,6.1
6/17/2020,30,27,32.4,0
6/18/2020,28.7,26.6,32,0
6/19/2020,30.9,25.9,35,0
6/20/2020,30,26.3,33,0
6/21/2020,28.6,26.1,30,0
6/22/2020,31,26.8,35,0
6/23/2020,30.7,27.5,35,0
6/24/2020,31.7,27.3,36,2
6/25/2020,31.2,27.3,35,0
6/26/2020,30.7,27,36,0
6/27/2020,30.3,26.4,36.4,1
6/28/2020,27.4,25,34,0
6/29/2020,27.8,24.1,32,19.1
6/30/2020,30.9,25,32.4,0
7/1/2020,30.9,26.2,32.4,1
7/2/2020,31.6,27.2,35,0
7/3/2020,30.9,27.5,34,0
7/4/2020,29,27,32,0
7/5/2020,27.3,22.6,32.4,16
7/6/2020,28.9,25,32,26.9
7/7/2020,28.1,26,31,0
7/8/2020,29.2,25.6,35,14
7/9/2020,29.2,24.4,32,7.1
7/10/2020,30.3,26.5,33.4,0
7/11/2020,29.2,25.2,32.4,0
7/12/2020,28.6,24.6,32.4,0
7/13/2020,28.2,25.4,30,0
7/14/2020,28.2,25.4,31,1
7/15/2020,28.6,25.4,31.4,0
7/16/2020,29.3,25,32.6,7.1
7/17/2020,30.2,26,34.4,0.8
7/18/2020,31,27.1,35,0
7/19/2020,30.7,27.3,34.8,0
7/20/2020,30.2,27.6,33.4,0
7/21/2020,30,26,34,0
7/22/2020,28.4,24.3,31.4,5.1
7/23/2020,28.1,23.5,31,14
7/24/2020,27.8,25.8,30,0
7/25/2020,30.6,25.5,35,0.5
7/26/2020,31.1,26.8,35.9,0
7/27/2020,30.5,26.1,36,0
7/28/2020,30.8,25.4,35.4,0
7/29/2020,30.8,26.5,35.4,0
7/30/2020,30.6,26.5,35.4,0
7/31/2020,31.3,26.5,36,0
8/1/2020,30.9,26.6,34,0
8/2/2020,30.5,26.2,35.6,0
8/3/2020,28.8,25.3,33,0
8/4/2020,27.2,25,31,0
8/5/2020,26.5,24.2,28,149.1
8/6/2020,27.8,25,30,7.1
8/7/2020,28.4,26,34,0.3
8/8/2020,28,25.6,31.8,24.9
8/9/2020,28.8,25.4,31.8,8.9
8/10/2020,30.3,26.4,34,1
8/11/2020,29.7,27.1,32,5.1
8/12/2020,29.6,26.4,32.4,0
8/13/2020,28.6,26,33,5.1
8/14/2020,27.4,25,30,6.1
8/15/2020,26.7,24.6,27.6,106.9
8/16/2020,28.5,25.2,31,2
8/17/2020,29.3,26,33,0
8/18/2020,29.3,27.4,32,0
8/19/2020,26.7,25.4,27.2,40.9
8/20/2020,27.5,24.6,30.2,40.9
8/21/2020,28.4,25.5,31,0
8/22/2020,29,25.8,31.2,0
8/23/2020,28,26,31.4,0.5
8/24/2020,28.3,23.1,32.4,29
8/25/2020,26.3,25.6,29,1
8/26/2020,25.4,23.4,32.4,91.9
8/27/2020,27.7,24,31,10.9
8/28/2020,29.8,25.8,33,5.1
8/29/2020,30,26.6,32.4,0
8/30/2020,30.9,26.5,35,0
8/31/2020,30.3,26.6,35,0
9/1/2020,28.2,26.6,32,0
9/2/2020,28.9,24.8,32,2
9/3/2020,30.1,25.6,34.6,2
9/4/2020,30.3,26,34.6,0
9/5/2020,30.8,25.6,35,0
9/6/2020,30.6,26.4,34,0
9/7/2020,31,26.4,35,0
9/8/2020,29.2,25.8,36,0
9/9/2020,30,24,34,0
9/10/2020,28.6,26.1,30.6,0
9/11/2020,30.1,25.8,32.4,0
9/12/2020,30.1,26.7,32.4,0
9/13/2020,30,26.5,33.2,0
9/14/2020,29.7,26.6,35.7,1
9/15/2020,30.4,26.6,35,1
9/16/2020,29.6,26.9,31.2,0.5
9/17/2020,30.6,26.7,32.4,3
9/18/2020,30.6,26.7,35,0
9/19/2020,29.7,26.2,35,0
9/20/2020,26.9,26,28,0
9/21/2020,26.7,24.8,29.6,43.9
9/22/2020,28.3,24.4,31,0
9/23/2020,29.4,25.4,32.4,4.1
9/24/2020,30.1,26.8,33,0.5
9/25/2020,29.1,27.6,32,0
9/26/2020,27.6,24.6,30,0
9/27/2020,29.6,25.4,34,0.8
9/28/2020,29.7,26.2,34,0
9/29/2020,28.9,25.5,32.4,0.3
9/30/2020,26.7,25,32,17
10/1/2020,26.1,24,28,32
10/2/2020,26.9,24.6,29,8.9
10/3/2020,26.3,24.7,30.2,2
10/4/2020,25.9,24.6,27,43.9
10/5/2020,27.1,24.4,29,7.1
10/6/2020,26.7,24.6,28,0.3
10/7/2020,27.7,24.7,33,0
10/8/2020,27.2,24.9,30,0
10/9/2020,29.4,25,32.4,0
10/10/2020,28.4,25.9,33,0
10/11/2020,29.1,24.5,33.4,0
10/12/2020,28.7,25.6,33,0
10/13/2020,26.2,24.6,28,7.1
10/14/2020,25.8,25,28,43.9
10/15/2020,26.4,24.9,28,24.9
10/16/2020,27.3,24.9,31,7.9
10/17/2020,28.3,24.8,32,0.5
10/18/2020,27.1,24.9,32,0
10/19/2020,26.8,24.1,32.4,10.9
10/20/2020,27.9,24.7,33,0.3
10/21/2020,26.5,25.4,30.4,2
10/22/2020,25.5,24.6,26.4,16
10/23/2020,26.9,22.7,29,3
10/24/2020,27.5,24.6,31,0
10/25/2020,27.6,23.4,32,0
10/26/2020,26.2,23,31,0
10/27/2020,26,19.7,32.4,0
10/28/2020,26.1,20.1,32.4,0
